,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1,1995-11-01,"HONOUR HSE,NATHAN RD|金勳大廈,彌敦道",3294.1176470588234,530.0,425.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.4,1.4,3294.0,3294.1176470588234,6449123.0,4773593.0,ASP,KYMT,油麻地/京士柏,1969/11,1969.0,57.0,6,14.0,blank,blank,HONOUR HSE,金勳大廈,False
4,1995-11-01,"PROSPEROUS GARDEN(Block 2),PUBLIC SQUARE ST|駿發花園2座,眾坊街",5285.714285714285,835.0,700.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.7,3.7,5286.0,5285.714285714285,6452601.0,4775053.0,ASP,KYMT,油麻地/京士柏,1991/08,1991.0,35.0,B,28.0,2,blank,PROSPEROUS GARDEN,駿發花園,False
9,1995-11-01,"KAM WAH BLDG,NATHAN RD|錦華樓,彌敦道",3172.4137931034484,0.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.38,1.38,3172.0,3172.4137931034484,6455038.0,4774271.0,ASP,KYMT,油麻地/京士柏,1976/06,1976.0,50.0,D,9.0,blank,blank,blank,,False
12,1995-11-01,"KING'S COURT,WAI CHING ST|偉景閣,偉晴街",5346.820809248555,473.0,346.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.85,1.85,5347.0,5346.820809248555,6456508.0,4774284.0,ASP,KYMT,油麻地/京士柏,1992/03,1992.0,34.0,A,18.0,blank,blank,blank,,False
13,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",3877.005347593583,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.45,1.45,3877.0,3877.005347593583,6456569.0,4774171.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,6.0,blank,blank,blank,,False
14,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",3957.219251336898,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.48,1.48,3957.0,3957.219251336898,6456570.0,4774172.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,7.0,blank,blank,blank,,False
15,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4144.385026737968,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.55,1.55,4144.0,4144.385026737968,6456571.0,4774173.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,9.0,blank,blank,blank,,False
16,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4251.336898395722,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.59,1.59,4251.0,4251.336898395722,6456572.0,4774174.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,10.0,blank,blank,blank,,False
17,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4331.550802139038,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.62,1.62,4332.0,4331.550802139038,6456573.0,4774175.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,11.0,blank,blank,blank,,False
18,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",3863.6363636363635,505.0,374.0,"{'bay_window': '15', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.445,1.445,3864.0,3863.6363636363635,6456574.0,4774176.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,6.0,blank,blank,blank,,False
19,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4237.967914438503,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.585,1.585,4238.0,4237.967914438503,6456575.0,4774177.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,9.0,blank,blank,blank,,False
20,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4478.60962566845,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.675,1.675,4479.0,4478.60962566845,6456576.0,4774178.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,11.0,blank,blank,blank,,False
27,1995-11-01,"ARTS MANSION,ARTHUR ST|雅寶大廈,鴉打街",4322.580645161291,414.0,310.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.34,1.34,4323.0,4322.580645161291,6462587.0,4775746.0,ASP,KYMT,油麻地/京士柏,1986/03,1986.0,40.0,A,20.0,blank,blank,blank,,False
31,1995-11-01,"TAK KEI BLDG,BATTERY ST|德基大廈,炮台街",3900.709219858156,366.0,282.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.1,1.1,3901.0,3900.709219858156,6464351.0,4776130.0,ASP,KYMT,油麻地/京士柏,1982/07,1982.0,44.0,B,17.0,blank,blank,blank,,False
38,1995-11-01,"HONG KIU MANSION,NATHAN RD|康僑大廈,彌敦道",3031.496062992126,0.0,508.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.54,1.54,3031.0,3031.496062992126,6467053.0,4777998.0,ASP,KYMT,油麻地/京士柏,1964/11,1964.0,62.0,3,10.0,blank,blank,blank,,False
41,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4491.9786096256685,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.68,1.68,4492.0,4491.9786096256685,6467731.0,4777853.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,12.0,blank,blank,blank,,False
42,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",3871.657754010695,505.0,374.0,"{'bay_window': '15', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.448,1.448,3872.0,3871.657754010695,6467732.0,4777854.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,5.0,blank,blank,blank,,False
43,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4211.229946524064,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.575,1.575,4211.0,4211.229946524064,6467733.0,4777855.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,8.0,blank,blank,blank,,False
44,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4358.288770053476,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.63,1.63,4358.0,4358.288770053476,6467734.0,4777856.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,10.0,blank,blank,blank,,False
51,1995-11-01,"TAK CHEONG COURT,TAK CHEONG LANE|德昌閣,德昌里",5176.470588235294,612.0,425.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.2,2.2,5176.0,5176.470588235294,6469479.0,4778245.0,ASP,KYMT,油麻地/京士柏,1995/07,1995.0,31.0,A,17.0,blank,blank,blank,,False
52,1995-11-01,"TAK CHEONG COURT,TAK CHEONG LANE|德昌閣,德昌里",5160.0,601.0,425.0,"{'bay_window': '27', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.193,2.193,5160.0,5160.0,6469480.0,4778246.0,ASP,KYMT,油麻地/京士柏,1995/07,1995.0,31.0,A,15.0,blank,blank,blank,,False
55,1995-11-01,"HANG YUE COURT,PITT ST|恒裕閣,碧街",5775.132275132275,522.0,378.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.183,2.183,5774.0,5775.132275132275,6470146.0,4777968.0,ASP,KYMT,油麻地/京士柏,1994/05,1994.0,32.0,C,18.0,blank,blank,blank,,False
59,1995-11-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4117.64705882353,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.54,1.54,4118.0,4117.64705882353,6472040.0,4780671.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,5.0,blank,blank,blank,,False
60,1995-12-01,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",5080.213903743315,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.9,1.9,5080.0,5080.213903743315,6472041.0,4780672.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,23.0,blank,blank,blank,,False
63,1995-11-01,"CHEUNG HING BLDG,PITT ST|祥興大廈,碧街",4154.85564304462,0.0,381.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.583,1.583,4155.0,4154.85564304462,6472343.0,4780753.0,ASP,KYMT,油麻地/京士柏,1966/00,1966.0,60.0,2,14.0,blank,blank,blank,,False
66,1995-12-01,"SHEUNG ON MANSION,BATTERY ST|常安大廈,炮台街",3673.5905044510387,432.0,337.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.238,1.238,3674.0,3673.5905044510387,6473311.0,4780865.0,ASP,KYMT,油麻地/京士柏,1980/02,1980.0,46.0,B,11.0,blank,blank,blank,,False
74,1995-11-01,"TAK CHEONG COURT,TAK CHEONG LANE|德昌閣,德昌里",5231.182795698925,522.0,372.0,"{'bay_window': '19', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.946,1.946,5232.0,5231.182795698925,6475513.0,4782048.0,ASP,KYMT,油麻地/京士柏,1995/07,1995.0,31.0,B,15.0,blank,blank,blank,,False
78,1995-12-01,"SHUN FUNG BLDG,TUNG ON ST|順豐大廈,東安街",4641.350210970464,333.0,237.0,"{'bay_window': '8', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.1,1.1,4641.0,4641.350210970464,6478598.0,4789317.0,ASP,KYMT,油麻地/京士柏,1992/11,1992.0,34.0,B,18.0,blank,blank,blank,,False
79,1995-11-01,"TAK KEI BLDG,BATTERY ST|德基大廈,炮台街",3368.794326241135,366.0,282.0,"{'bay_window': '24', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.95,0.95,3369.0,3368.794326241135,6478650.0,4789334.0,ASP,KYMT,油麻地/京士柏,1982/07,1982.0,44.0,A,10.0,blank,blank,blank,,False
83,1995-12-04,"PROSPEROUS GARDEN(Block 1),PUBLIC SQUARE ST|駿發花園1座,眾坊街",5614.285714285715,835.0,700.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.93,3.93,5614.0,5614.285714285715,6481090.0,4783412.0,ASP,KYMT,油麻地/京士柏,1991/08,1991.0,35.0,G,27.0,1,blank,PROSPEROUS GARDEN,駿發花園,False
90,1995-12-14,"FU CHEONG BLDG,TEMPLE ST|富昌大廈,廟街",4094.7075208913648,492.0,359.0,"{'bay_window': '', 'flat_roof': '784', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.47,1.47,4095.0,4094.7075208913648,6485063.0,4786247.0,ASP,KYMT,油麻地/京士柏,1986/07,1986.0,40.0,B,1.0,blank,blank,blank,,False
92,1995-12-08,"TAK CHEONG BLDG,BATTERY ST|德昌大廈,炮台街",3681.818181818182,304.0,220.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.81,0.81,3682.0,3681.818181818182,6485301.0,4786298.0,ASP,KYMT,油麻地/京士柏,1977/08,1977.0,49.0,C,11.0,blank,blank,blank,,False
93,1995-12-01,"KAM HOI BLDG,SHANGHAI ST|金海大廈,上海街",3791.8552036199094,342.0,221.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.838,0.838,3792.0,3791.8552036199094,6485550.0,4786376.0,PRO-ASP,KYMT,油麻地/京士柏,1978/05,1978.0,48.0,A,14.0,blank,blank,blank,,False
94,1995-11-20,"HAYON BLDG,TAK CHEONG LANE|海溢閣,德昌里",4152.0,413.0,250.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.038,1.038,4152.0,4152.0,6485869.0,4786627.0,PRO-ASP,KYMT,油麻地/京士柏,1990/06,1990.0,36.0,C,10.0,blank,blank,blank,,False
95,1995-12-12,"KING'S COURT,WAI CHING ST|偉景閣,偉晴街",4672.619047619048,459.0,336.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.57,1.57,4673.0,4672.619047619048,6486187.0,4786680.0,ASP,KYMT,油麻地/京士柏,1992/03,1992.0,34.0,C,5.0,blank,blank,blank,,False
97,1995-11-25,"LAUREN COURT,CANTON RD|利源閣,廣東道",4411.764705882353,364.0,272.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.2,1.2,4412.0,4411.764705882353,6486888.0,4786765.0,ASP,KYMT,油麻地/京士柏,1981/11,1981.0,45.0,A,12.0,blank,blank,blank,,False
98,1995-12-06,"PROSPEROUS GARDEN(Block 1),PUBLIC SQUARE ST|駿發花園1座,眾坊街",5082.5082508250825,729.0,606.0,"{'bay_window': '26', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.08,3.08,5083.0,5082.5082508250825,6487080.0,4786800.0,ASP,KYMT,油麻地/京士柏,1991/08,1991.0,35.0,A,14.0,1,blank,PROSPEROUS GARDEN,駿發花園,False
100,1995-12-13,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4812.834224598931,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,4813.0,4812.834224598931,6487586.0,4786881.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,18.0,blank,blank,blank,,False
101,1995-12-13,"CHEE SUN BLDG,RECLAMATION ST|時新大廈,新填地街",4947.735191637631,486.0,287.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.42,1.42,4948.0,4947.735191637631,6487891.0,4786926.0,ASP,KYMT,油麻地/京士柏,1994/09,1994.0,32.0,B,7.0,blank,blank,blank,,False
102,1995-12-07,"HAYON BLDG,TAK CHEONG LANE|海溢閣,德昌里",4360.0,413.0,250.0,"{'bay_window': '12', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.09,1.09,4360.0,4360.0,6488251.0,4787089.0,ASP,KYMT,油麻地/京士柏,1990/06,1990.0,36.0,A,11.0,blank,blank,blank,,False
103,1995-12-08,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",4907.949790794979,586.0,478.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.346,2.346,4908.0,4907.949790794979,6488789.0,4787249.0,ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,E,12.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
106,1995-12-09,"YEN YIN MANSION,FERRY ST|仁賢大廈,渡船街",3266.932270916335,358.0,251.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.82,0.82,3267.0,3266.932270916335,6490652.0,4787643.0,ASP,KYMT,油麻地/京士柏,1979/06,1979.0,47.0,A,15.0,blank,blank,blank,,False
108,1995-12-18,"WAI YIP BLDG,WAI CHING ST|偉業大廈,偉晴街",3464.203233256351,550.0,433.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.5,1.5,3464.0,3464.203233256351,6491401.0,4784374.0,ASP,KYMT,油麻地/京士柏,1979/11,1979.0,47.0,A,4.0,blank,blank,blank,,False
111,1995-12-13,"YAU LEE BLDG,LEE YIP ST|有利樓,利業街",3625.0,0.0,320.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.16,1.16,3625.0,3625.0,6493102.0,4784408.0,PRO-ASP,KYMT,油麻地/京士柏,1973/00,1973.0,53.0,B,7.0,blank,blank,blank,,False
113,1995-12-23,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",5334.728033472803,586.0,478.0,"{'bay_window': '30', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.55,2.55,5335.0,5334.728033472803,6493379.0,4784970.0,ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,D,8.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
116,1995-12-22,"YUE KING BLDG,SHANGHAI ST|裕景樓,上海街",3322.884012539185,0.0,319.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.06,1.06,3323.0,3322.884012539185,6494962.0,4784421.0,ASP,KYMT,油麻地/京士柏,1978/04,1978.0,48.0,A,9.0,blank,blank,blank,,False
119,1995-12-28,"TUNG YU BLDG,TUNG FONG ST|東裕大廈,東方街",4285.714285714285,0.0,294.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.26,1.26,4286.0,4285.714285714285,6497378.0,4784340.0,ASP,KYMT,油麻地/京士柏,1979/01,1979.0,47.0,B,3.0,blank,blank,blank,,False
121,1995-12-19,"TAK LEE BLDG,BATTERY ST|德利大廈,炮台街",4400.0,288.0,200.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.88,0.88,4400.0,4400.0,6497562.0,4784326.0,ASP,KYMT,油麻地/京士柏,1978/02,1978.0,48.0,D,13.0,blank,blank,blank,,False
124,1995-12-23,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4705.882352941177,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.76,1.76,4706.0,4705.882352941177,6499044.0,4783932.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,16.0,blank,blank,blank,,False
126,1995-12-06,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",5728.813559322034,719.0,590.0,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.38,3.38,5729.0,5728.813559322034,6499297.0,4784967.0,PRO-ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,F,17.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
127,1995-12-18,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",5792.079207920792,742.0,606.0,"{'bay_window': '38', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.51,3.51,5792.0,5792.079207920792,6499299.0,4784968.0,ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,A,26.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
128,1995-12-15,"PROSPEROUS GARDEN(Block 3),PUBLIC SQUARE ST|駿發花園3座,眾坊街",6971.428571428572,844.0,700.0,"{'bay_window': '33', 'flat_roof': '', 'roof': '572', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.88,4.88,6971.0,6971.428571428572,6499300.0,4784969.0,ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,G,29.0,3,blank,PROSPEROUS GARDEN,駿發花園,False
132,1996-01-03,"HANG YUE COURT,PITT ST|恒裕閣,碧街",5379.95337995338,585.0,429.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.308,2.308,5380.0,5379.95337995338,6500395.0,4789957.0,ASP,KYMT,油麻地/京士柏,1994/05,1994.0,32.0,D,15.0,blank,blank,blank,,False
135,1995-12-29,"PO HANG BLDG(Block A),DUNDAS ST|寶亨大廈A座,登打士街",3777.777777777778,456.0,360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.36,1.36,3778.0,3777.777777777778,6501930.0,4790263.0,ASP,KYMT,油麻地/京士柏,1983/01,1983.0,43.0,2,7.0,A,blank,PO HANG BLDG,寶亨大廈,False
138,1995-12-27,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4665.775401069519,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.745,1.745,4666.0,4665.775401069519,6503076.0,4790388.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,19.0,blank,blank,blank,,False
139,1995-12-27,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4826.20320855615,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.805,1.805,4826.0,4826.20320855615,6503077.0,4790389.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,B,19.0,blank,blank,blank,,False
140,1996-01-02,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4572.192513368984,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.71,1.71,4572.0,4572.192513368984,6503078.0,4790390.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,16.0,blank,blank,blank,,False
141,1995-12-28,"KIU KIN MANSION,NATHAN RD|僑建大廈,彌敦道",3259.259259259259,0.0,675.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.2,2.2,3259.0,3259.259259259259,6503137.0,4790396.0,ASP,KYMT,油麻地/京士柏,1965/00,1965.0,61.0,whole floor,19.0,blank,blank,blank,,False
146,1995-12-15,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",5244.067796610169,719.0,590.0,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.094,3.094,5244.0,5244.067796610169,6505777.0,4790634.0,ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,F,25.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
147,1995-12-20,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",5966.1016949152545,719.0,590.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.52,3.52,5966.0,5966.1016949152545,6505785.0,4790635.0,ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,C,23.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
149,1996-01-11,"KING'S COURT,WAI CHING ST|偉景閣,偉晴街",4577.380952380952,459.0,336.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.538,1.538,4577.0,4577.380952380952,6506225.0,4790896.0,ASP,KYMT,油麻地/京士柏,1992/03,1992.0,34.0,C,8.0,blank,blank,blank,,False
150,1995-12-23,"PAK LOK BLDG,NATHAN RD|百樂大廈,彌敦道",3106.060606060606,0.0,396.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.23,1.23,3106.0,3106.060606060606,6506296.0,4790910.0,ASP,KYMT,油麻地/京士柏,1964/10,1964.0,62.0,D,8.0,blank,blank,blank,,False
151,1996-01-09,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",5877.966101694915,719.0,590.0,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.468,3.468,5878.0,5877.966101694915,6506407.0,4790932.0,ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,F,27.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
154,1995-12-27,"PROSPEROUS GARDEN(Block 4),PUBLIC SQUARE ST|駿發花園4座,眾坊街",5648.535564853557,586.0,478.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.7,2.7,5649.0,5648.535564853557,6507121.0,4791047.0,SUB-ASP,KYMT,油麻地/京士柏,1995/11,1995.0,31.0,E,12.0,4,blank,PROSPEROUS GARDEN,駿發花園,False
158,1996-01-09,"CHEONG FAT MANSION,TAK CHEONG LANE|昌發大廈,德昌里",4625.668449197861,505.0,374.0,"{'bay_window': '21', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.73,1.73,4626.0,4625.668449197861,6508083.0,4791075.0,ASP,KYMT,油麻地/京士柏,1994/11,1994.0,32.0,A,17.0,blank,blank,blank,,False
